notch,srg,mcp
a,net/minecraft/util/EnumChatFormatting,net/minecraft/util/EnumChatFormatting
b,net/minecraft/crash/CrashReport,net/minecraft/crash/CrashReport
c,net/minecraft/crash/CrashReport$1,net/minecraft/crash/CrashReport$1
d,net/minecraft/crash/CrashReport$2,net/minecraft/crash/CrashReport$2
net/minecraft/realms/RealmsScrolledSelectionList,net/minecraft/realms/RealmsScrolledSelectionList,net/minecraft/realms/RealmsScrolledSelectionList
e,net/minecraft/crash/CrashReport$3,net/minecraft/crash/CrashReport$3
f,net/minecraft/crash/CrashReport$4,net/minecraft/crash/CrashReport$4
g,net/minecraft/crash/CrashReport$5,net/minecraft/crash/CrashReport$5
h,net/minecraft/crash/CrashReport$6,net/minecraft/crash/CrashReport$6
i,net/minecraft/crash/CrashReport$7,net/minecraft/crash/CrashReport$7
j,net/minecraft/crash/CrashReport$8,net/minecraft/crash/CrashReport$8
k,net/minecraft/crash/CrashReportCategory,net/minecraft/crash/CrashReportCategory
l,net/minecraft/crash/CrashReportCategory$1,net/minecraft/crash/CrashReportCategory$1
m,net/minecraft/crash/CrashReportCategory$2,net/minecraft/crash/CrashReportCategory$2
n,net/minecraft/crash/CrashReportCategory$3,net/minecraft/crash/CrashReportCategory$3
o,net/minecraft/crash/CrashReportCategory$Entry,net/minecraft/crash/CrashReportCategory$Entry
p,net/minecraft/util/Direction,net/minecraft/util/Direction
q,net/minecraft/util/Facing,net/minecraft/util/Facing
r,net/minecraft/util/ChunkCoordinates,net/minecraft/util/ChunkCoordinates
s,net/minecraft/util/ReportedException,net/minecraft/util/ReportedException
t,net/minecraft/util/ChatAllowedCharacters,net/minecraft/util/ChatAllowedCharacters
u,net/minecraft/util/Util,net/minecraft/util/Util
v,net/minecraft/util/Util$EnumOS,net/minecraft/util/Util$EnumOS
w,net/minecraft/client/audio/SoundCategory,net/minecraft/client/audio/SoundCategory
x,net/minecraft/command/IAdminCommand,net/minecraft/command/IAdminCommand
y,net/minecraft/command/CommandBase,net/minecraft/command/CommandBase
z,net/minecraft/command/CommandHandler,net/minecraft/command/CommandHandler
net/minecraft/server/MinecraftServer,net/minecraft/server/MinecraftServer,net/minecraft/server/MinecraftServer
net/minecraft/realms/RealmsEditBox,net/minecraft/realms/RealmsEditBox,net/minecraft/realms/RealmsEditBox
net/minecraft/realms/RealmsSliderButton,net/minecraft/realms/RealmsSliderButton,net/minecraft/realms/RealmsSliderButton
