notch,notchdesc,srg,srgdesc,mcp,mcpdesc
blp/compare,(Ljava/lang/Object;Ljava/lang/Object;)I,net/minecraft/client/renderer/RenderSorter/compare,(Ljava/lang/Object;Ljava/lang/Object;)I,net/minecraft/client/renderer/RenderSorter/compare,(Ljava/lang/Object;Ljava/lang/Object;)I
yx/a_,(I)Ladd;,net/minecraft/entity/player/InventoryPlayer/func_70304_b,(I)Lnet/minecraft/item/ItemStack;,net/minecraft/entity/player/InventoryPlayer/getStackInSlotOnClosing,(I)Lnet/minecraft/item/ItemStack;
bfl/b,(III)V,net/minecraft/client/gui/inventory/GuiContainerCreative/func_146286_b,(III)V,net/minecraft/client/gui/inventory/GuiContainerCreative/mouseMovedOrUp,(III)V
xj/f,()Laji;,net/minecraft/entity/item/EntityFallingBlock/func_145805_f,()Lnet/minecraft/block/Block;,net/minecraft/entity/item/EntityFallingBlock/func_145805_f,()Lnet/minecraft/block/Block;
alv/d,(Lahb;IIII)Z,net/minecraft/block/BlockLever/func_149707_d,(Lnet/minecraft/world/World;IIII)Z,net/minecraft/block/BlockLever/canPlaceBlockOnSide,(Lnet/minecraft/world/World;IIII)Z
ajx/c,(Lahb;III)Z,net/minecraft/block/BlockChest/func_149742_c,(Lnet/minecraft/world/World;III)Z,net/minecraft/block/BlockChest/canPlaceBlockAt,(Lnet/minecraft/world/World;III)Z
f/call,()Ljava/lang/Object;,net/minecraft/crash/CrashReport$4/call,()Ljava/lang/Object;,net/minecraft/crash/CrashReport$4/call,()Ljava/lang/Object;
abt/j,()Z,net/minecraft/creativetab/CreativeTabs/func_78017_i,()Z,net/minecraft/creativetab/CreativeTabs/shouldHidePlayerInventory,()Z
adb/c,(Ladb;)Ladb;,net/minecraft/item/Item/func_77642_a,(Lnet/minecraft/item/Item;)Lnet/minecraft/item/Item;,net/minecraft/item/Item/setContainerItem,(Lnet/minecraft/item/Item;)Lnet/minecraft/item/Item;
bct/a,(Ljava/net/URI;)V,net/minecraft/client/gui/GuiChat/func_146407_a,(Ljava/net/URI;)V,net/minecraft/client/gui/GuiChat/func_146407_a,(Ljava/net/URI;)V
pq/a,(Lph;Lpo;)Lpo;,net/minecraft/stats/StatFileWriter/func_150872_a,(Lnet/minecraft/stats/StatBase;Lnet/minecraft/util/IJsonSerializable;)Lnet/minecraft/util/IJsonSerializable;,net/minecraft/stats/StatFileWriter/func_150872_a,(Lnet/minecraft/stats/StatBase;Lnet/minecraft/util/IJsonSerializable;)Lnet/minecraft/util/IJsonSerializable;
ags/c,()I,net/minecraft/block/BlockEventData/func_151341_c,()I,net/minecraft/block/BlockEventData/func_151341_c,()I
adb/g,()Z,net/minecraft/item/Item/func_77629_n_,()Z,net/minecraft/item/Item/shouldRotateAroundWhenRendering,()Z
bei/a,(IIF)V,net/minecraft/client/gui/achievement/GuiAchievements/func_73863_a,(IIF)V,net/minecraft/client/gui/achievement/GuiAchievements/drawScreen,(IIF)V
bej/b,(Lbej;)Lbbu;,net/minecraft/client/gui/achievement/GuiStats/access$100,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;,net/minecraft/client/gui/achievement/GuiStats/access$100,(Lnet/minecraft/client/gui/achievement/GuiStats;)Lnet/minecraft/client/gui/FontRenderer;
