notch,srg,mcp
st/e,net/minecraft/entity/item/EntityItemFrame/field_82337_e,net/minecraft/entity/item/EntityItemFrame/itemDropChance
auq/a,net/minecraft/world/gen/structure/StructureStrongholdPieces$Library/field_75007_b,net/minecraft/world/gen/structure/StructureStrongholdPieces$Library/strongholdLibraryChestContents
bmc/a,net/minecraft/client/renderer/ImageBufferDownload/field_78438_a,net/minecraft/client/renderer/ImageBufferDownload/imageData
bmc/b,net/minecraft/client/renderer/ImageBufferDownload/field_78436_b,net/minecraft/client/renderer/ImageBufferDownload/imageWidth
bmc/c,net/minecraft/client/renderer/ImageBufferDownload/field_78437_c,net/minecraft/client/renderer/ImageBufferDownload/imageHeight
auq/b,net/minecraft/world/gen/structure/StructureStrongholdPieces$Library/field_75008_c,net/minecraft/world/gen/structure/StructureStrongholdPieces$Library/isLargeRoom
blq/c,net/minecraft/client/renderer/EntitySorter/field_78948_c,net/minecraft/client/renderer/EntitySorter/entityPosZ
blq/b,net/minecraft/client/renderer/EntitySorter/field_78947_b,net/minecraft/client/renderer/EntitySorter/entityPosY
blq/a,net/minecraft/client/renderer/EntitySorter/field_78949_a,net/minecraft/client/renderer/EntitySorter/entityPosX
ht/b,net/minecraft/network/play/server/S19PacketEntityHeadLook/field_149383_b,net/minecraft/network/play/server/S19PacketEntityHeadLook/field_149383_b
ht/a,net/minecraft/network/play/server/S19PacketEntityHeadLook/field_149384_a,net/minecraft/network/play/server/S19PacketEntityHeadLook/field_149384_a
tf/c,net/minecraft/entity/DataWatcher$WatchableObject/field_75677_c,net/minecraft/entity/DataWatcher$WatchableObject/watchedObject
tf/d,net/minecraft/entity/DataWatcher$WatchableObject/field_75675_d,net/minecraft/entity/DataWatcher$WatchableObject/watched
tf/a,net/minecraft/entity/DataWatcher$WatchableObject/field_75678_a,net/minecraft/entity/DataWatcher$WatchableObject/objectType
tf/b,net/minecraft/entity/DataWatcher$WatchableObject/field_75676_b,net/minecraft/entity/DataWatcher$WatchableObject/dataValueId
baq/a,net/minecraft/client/Minecraft$10/field_90051_a,net/minecraft/client/Minecraft$10/theMinecraft
gq/a,net/minecraft/network/play/server/S2FPacketSetSlot/field_149179_a,net/minecraft/network/play/server/S2FPacketSetSlot/field_149179_a
gq/b,net/minecraft/network/play/server/S2FPacketSetSlot/field_149177_b,net/minecraft/network/play/server/S2FPacketSetSlot/field_149177_b
